id;valuez;orderz;tenent_code
1;Meadow;28924;Internal
2;productize;37480;Tunnel
3;Personal Loan Account connecting;98401;mission-critical
4;Shirt Tools Director;77353;Liaison Oval
5;Chad compress;83364;action-items secured line next generation
6;Car;50744;Pound Sterling Versatile
7;Nevada strategic New Jersey;13919;platforms Auto Loan Account Bedfordshire
8;mobile circuit;30048;local area network bluetooth
9;lime enable;3945;Road Tunisia Customer-focused
10;Personal Loan Account Credit Card Account back-end;45846;Rustic Soft Cheese British Indian Ocean Territory (Chagos Archipelago) Licensed Metal Ball
